,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Capacidade máxima do cartão de memória,Nome do sistema operacional,Versão original do sistema operacional,Última versão compatível do sistema operacional,Camada original de personalização do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Características principais das câmeras,Quantidade de câmeras traseiras,Resolução das câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução de vídeo da câmera frontal,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom óptico,Zoom digital,Altura x Largura x Profundidade,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Modelo de GPU,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com barômetro,Com sensor de frequência cardíaca,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Quantidade de eSIMs,Mês de lançamento,Ano de lançamento,Peso,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Proporção da tela,Pixels por polegada,Taxa de atualização da tela,Brilho máximo da tela,Com tela tátil,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia em standby,Com leitor de impressão digital,Com reconhecimento facial,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,descricao,Versão,É resistente a quedas,Autonomia de conversação,Última camada compatível de personalização do sistema operacional,Com reconhecimento de íris,Inclui lápis,Modelo detalhado,Origem,Cor,Resolução das câmeras frontais,Com reconhecimento de mão,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Brilho máximo da tela secundária,É kit,Zoom híbrido,Com tela dobrável
0,iPhone XR 128 Gb Azul Vitrine Apple Original +nf,https://produto.mercadolivre.com.br/MLB-1675274362-iphone-xi-_JM,Apple,iPhone,iPhone XR,128 GB,3 GB,Não,512 GB,iOS,12,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,5x,150.9 mm x 75.7 mm x 8.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Outubro,2018,194 g,"6.1 """,Full HD+,828 px x 1792 px,IPS,Dot Drop Display,19.5 - 9,326 ppi,,625 cd/m²,Sim,2942 mAh,Íon de lítio,,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"> Apple iPhone XR 128GB Azul  - Aparelho de Vitrine, Seminovo em Excelente Estado de Conservação < 1. O aparelho é Original Apple? = Claro, você está comprando um iPhone XR, ou seja, um aparelho fabricado pela Apple, original de fábrica, com IMEI próprio, homologado pela Anatel e com Apple ID liberado (iCloud). 2. O que quer dizer Aparelho de SEMINOVO / Vitrine? = A palavra SEMINOVO já diz tudo. É um aparelho previamente utilizado, porém com baixo uso e excelente estado de conservação como um todo. Adquirimos os produtos de Operadoras de Telefonia e lojas do varejo. Muitos deles são utilizados em MOSTRUÁRIOS de lojistas e cedidos a planos corporativos. 3. Qual o estado geral do Aparelho? = Todos os aparelhos que compramos são devidamente conferidos e testados, estando em perfeito estado, pronto para uso. Entenda que classificamos este aparelho como de excelente estado de conservação devido sua carcaça estar em ótimo estado, porém o aparelho pode conter pequenos riscados e detalhes provenientes de uso anterior, que são mínimos como já dito. 4. O que está Incluso? = Você receberá com o seu iPhone XR 128Gb um conjunto de acessórios novos e certificados. Acompanham o aparelho: 01x Cabo USB Lightning Certificado MFI + 01x Tomada USB Certificado MFI. Como adquirimos somente o aparelho junto aos fornecedores, os acessórios que acompanham o aparelho são adquiridos a parte, Estes acessórios são totalmente compatíveis com o seu iPhone, de excelente qualidade e irão funcionar perfeitamente, sem danificar o aparelho 5. Quais as Cores Estão Disponíveis? = Este anúncio contempla o aparelho na cor AZUL 6. Qual tempo de garantia do aparelho? = Você está coberto pelo código de defesa do consumidor, com uma garantia de 3 MESES para este aparelho que será prestada diretamente junto a nossa assistência técnica. 7. Qual a saúde da bateria? = Todos os aparelhos que vendemos possuem um mínimo de 85% de saúde garantido, ou seja, no mínimo seu aparelho terá 85% de saúde da bateria ou mais. Todos os aparelhos são devidamente testados e checados antes do envio.  8. Possui Nota Fiscal? = SIM! O aparelho segue com a Nota Fiscal emitida em seu nome e com o IMEI do mesmo registrado na Nota. - PRONTA ENTREGA - O produto é despachado em no máximo 24 horas à partir da aprovação do seu pagamento, aproveite esta agilidade!",,,25 h,,,,,,,,,,,,,,
0,Apple iPhone 6s Plus 128gb,https://produto.mercadolivre.com.br/MLB-1675274362-iphone-xi-_JM,Apple,iPhone,iPhone 6s Plus,128 GB,,Não,,iOS,9,14,,12 Mpx,3840 px x 2160 px,5 Mpx,Sim,,1,,f 2.2,1,1280 px x 720 px,f 2.2,Não,,5x,158.2 mm x 77.9 mm x 7.3 mm,Não,,,Não,Sim,,Apple A9,2x1.84 GHz Twister,2,1.84 GHz,PowerVR GT7600,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2015,192 g,"5.5 """,,1920 px - 1080 px,IPS,,,401 ppi,60 Hz,500 cd/m²,Sim,2750 mAh,Íon de lítio,,Sim,Não,384 h,Sim,,4G/LTE,Lightning,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,,O vendedor não inseriu a descrição do produto,,Não,24 h,,,,,,,,,,,,,,
0,iPhone 6 Plus 128 Gigas,https://produto.mercadolivre.com.br/MLB-1718289520-iphone-8-plus-64gb-red-silver-space-gray-gold-_JM,Apple,iPhone,iPhone 6 Plus,128 GB,,Não,,iOS,8,,,8 Mpx,1920 px x 1080 px,1.2 Mpx,Sim,,,,f 2.2,,1280 px x 720 px,,Não,,3x,158.1 mm x 77.8 mm x 7.1 mm,Não,,,Não,Sim,,Apple A8,2x1.4 GHz Typhoon,2,1.4 GHz,,Sim,Sim,Sim,,Sim,,Não,1,Nano-SIM,Não,,,,172 g,"5.5 """,,1080 px x 1920 px,IPS,,,401 ppi,,500 cd/m²,Sim,2915 mAh,Íon de lítio,,Sim,Não,384 h,Sim,,4G/LTE,Lightning,Sim,,Sim,Sim,Sim,,Não,Não,Não,Sim,,Iphone 6Plus,,,24 h,,,,,,,,,,,,,,
0,"Apple iPhone XS Max 64 Gb 5,8 4g Anatel Garantia De 1 Ano Nf",https://produto.mercadolivre.com.br/MLB-1868958183-iphone-7-plus-256gb-vermelho-vitrine-produto-novo-vitrine-_JM,Apple,iPhone,iPhone XS Max,64 GB,4 GB,Não,512 GB,iOS,12,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,1920 px x 1080 px,f 2.2,Não,2x,10x,157.5 mm x 77.4 mm x 7.7 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,Não,Sim,1,Nano-SIM,Sim,1,Setembro,2018,208 g,"6.5 """,Full HD+,1242 px x 2688 px,OLED,,19.5 - 9,458 ppi,,625 cd/m²,Sim,3174 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"ENVIAMOS PARA TODO O BRASIL COM NOTA FISCAL NO NOME FIQUE À VONTADE PARA FAZER QUALQUER PERGUNTA Bem-vindo às telonas. Tela Super Retina. Enorme e gigante. As telas OLED feitas especialmente para o iPhone XS oferecem a melhor precisão de cor de toda a categoria, HDR e pretos verdadeiros. E o iPhone XS Max tem a maior tela já feita para um iPhone. Aço inoxidável de precisão cirúrgica. Desenvolvemos uma liga especial com alta precisão para criar molduras estruturais em três cores. Face ID avançado. A segurança fica simples quando a senha é o seu rosto. Você pode desbloquear seu iPhone, acessar apps e pagar só com o olhar. É a forma mais segura de autenticação facial em um smartphone e agora está mais rápido. O Smartphone Apple iPhone XS Max integra Chip A12 Bionic com mecanismo Neural Engine, que promove aprendizado de inteligência artificial através da qual o usuário obtém recursos que elevam o nível das experiências de usabilidade e ainda, influencia diretamente na economia da bateria. Já a tela Super Retina de 6.5” com retroiluminação, amplia o campo visual de canto a canto com tonalidades vivas e nítidas. Tem certificação IP68 e modo de recarga AirPower. Dispõe de câmera principal dupla de 12MP e TrueDepth de 7MP com sistema tecnológico Face ID, capaz de realizar o mapeamento eficiente das linhas de expressão, para dispensar o uso de senhas em determinados aplicativos e desbloquear a tela do dispositivo apenas com o olhar. A ampla tela Super Retina de 6.5”, abrange grande parte da frente do dispositivo e não exibe teclas físicas, através dela as experiências de visualização de cores chegam bem próximas à realidade do momento da captura, já que mantém a precisão da cor e reconhece diferentes tonalidades, o que resulta em tons nítidos e com contrastes fiéis. Conta com sensor True Tone, que ajusta a gradação das imagens a serem exibidas, de acordo com a iluminação do ambiente, e a tecnologia 3D Touch, a qual reconhece comandos de acordo com a pressão exercida sobre a tela, e ativa diferentes funcionalidades, para que o acesso à tela inicial, aos aplicativos em aberto ou às configurações seja feito através de movimentos intuitivos, rápidos e na própria tela. Além disso, traz revestimento resistente à impressões digitais e oleosidade. Dispõe de câmera principal dupla de 12MP, com modo retrato aprimorado e sensores inteligentes que são capazes de registrar contrastes nítidos e tonalidades bem definidas, inclusive em resolução 4K. Já a câmera TrueDepth de 7MP, integra avançado sistema tecnológico Face ID, que realiza análise dos músculos e de aproximadamente 30 mil pontos fisionômicos, para que as linhas de expressão e a retina dos olhos sejam utilizadas no desbloqueio da tela e no acesso às contas de aplicativos, também para realizar pagamentos e abrir documentos confidenciais. Além disso, cria o Memoji, que personalizado de acordo com a face do usuário, agrega maior interatividade às redes sociais e demais funcionalidades de entretenimento. Através do Chip A12Bionic, os comandos são processados com 15% a mais de velocidade, quando comparado a versão anterior. Desenvolvido pela Apple, integra o inteligente processador Neural Engine, que aprimora a interação usuário-dispositivo, para experiências em tempo real, pois a capacidade de operações realizadas é de até 5 trilhões por segundo, ou seja, o dispositivo processa e finaliza os comandos efetuados pelo usuário em frações de segundos. Além disso, o Chip engloba diversos núcleos com tecnologias avançadas, que além de auxiliar na economia da carga da bateria, otimiza as funcionalidades do dispositivo. Possui tecnologia Dual SIM, que permite utilizar dois números de telefone diferentes ao mesmo tempo, os números podem ser inclusive de operadoras telefônicas distintas, seja para navegar na internet através dos dados móveis ou para manter-se disponível para receber chamadas em áreas mais amplas. ITENS INCLUSOS: Aparelho iPhone XS Max 64 Gb com iOS 13 EarPods com conector Lightning Cabo de Lightning / USB Carregador USB Documentos COMPRE À VISTA COM 10% DE DESCONTO EM NOSSO SITE FRANCOUTLET EXCLUSIVE PREMIUM BRANDS AND TECHNOLOGY",,,25 h,,,,,,,,,,,,,,
0,iPhone Xi,https://produto.mercadolivre.com.br/MLB-1868958183-iphone-7-plus-256gb-vermelho-vitrine-produto-novo-vitrine-_JM,Apple,iPhone,iPhone XS Dual SIM,512 GB,4 GB,Não,,iOS,12,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,1920 px x 1080 px,f 2.2,Não,2x,10x,143.6 mm x 70.9 mm x 7.7 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,,Sim,1,Nano-SIM,Sim,,Setembro,2018,177 g,"5.8 """,,1125 px x 2436 px,OLED,,19.5 - 9,458 ppi,,625 cd/m²,Sim,2658 mAh,Íon de lítio,Sim,Sim,Não,,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Oi,O vendedor não inseriu a descrição do produto,,,20 h,,,,,,,,,,,,,,
0,iPhone XR 64gb,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone XR,64 GB,3 GB,Não,512 GB,iOS,12,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,0x,150.9 mm x 75.7 mm x 8.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Sim,1,Outubro,2018,194 g,"6.1 """,Full HD+,828 px x 1792 px,IPS,DotDisplay,19.5 - 9,326 ppi,,625 cd/m²,Sim,2942 mAh,Íon de lítio,,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"IPhone XR - 64gb 1 ano de uso (comprado em Novembro de 2019), perfeito estado Na caixa com carregador, sem fone 95% da capacidade da bateria Uma única batidinha embaixo Acompanha película e capinha de silicone Qualquer duvida pode me contatar",,,25 h,MIUI 12,,Não,,,,,,,,,,,
0,iPhone 7 32gb Vitrine,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone 7,32 GB,2 GB,Não,,iOS,14.3,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Optical image stabilization,Sixelement lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with s...",1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,5x,138.3 mm x 67.1 mm x 7.1 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Não,,Setembro,2016,138 g,"4.7 """,,750 px x 1334 px,IPS,Retina,19.5 - 9,326 ppi,,625 cd/m²,Sim,1960 mAh,Íon de lítio,,Sim,Não,240 h,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Aparelho funcionando 100%. Nunca aberto para manutenções. Bateria 89%. Acompanha caixa original e manuais. Sem marcas de uso alguma.,,,14 h,,,Não,,,,,,,,,,,
0,iPhone 64 Gb Ouro Rosa,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone SE,64 GB,2 GB,Não,,iOS,9,14,MIUI 12,12 Mpx,3840 px x 2160 px,1.2 Mpx,Sim,,1,12 Mpx/12 Mpx,f 2.2,,1280 px x 720 px,f 2.4,Não,,5x,123.8 mm x 58.6 mm x 7.6 mm,Não,Não,,Não,Sim,IP67,Apple A9,2x1.84 GHz Twister,2,1.84 GHz,,Sim,Sim,Sim,,Sim,Não,Não,1,Nano-SIM,Não,,Setembro,,113 g,"4 """,Full HD+,640 px x 1136 px,IPS,Dot Drop Display,,326 ppi,,500 cd/m²,Sim,1624 mAh,Íon de lítio,,Sim,Não,240 h,Sim,Não,4G/LTE,Lightning,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"iPhone SE Com sua tela IPS de 4 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Tudo o que você precisa Sua RAM 2 GB é exatamente o que você precisa para usar as funções mais importantes, como chamadas, enviar mensagens, navegar e executar aplicativos usados com freqüência, como redes sociais ou multimídia. Desbloqueio rápido com sua impressão digital Com o sensor de impressão digital, o acesso é seguro e você poderá desbloqueá-lo automaticamente com um toque. O espaço que você precisa Com sua memória interna de 64 GB baixe seus aplicativos favoritos e salve todas as fotos e vídeos que desejar. Celular Semi Novo Vem com película de vidro frontal e película traseira nova já colocada Fone de ouvido na caixa (nunca usado) Carregador e cabo original e novos **Imagens meramente ilustrativa**",,,14 h,,,,,,,,,,,,,,
0,Celular iPhone XS Max 256 Gb,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone XS Max,256 GB,4 GB,Não,512 GB,iOS,12,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,1920 px x 1080 px,f 2.2,Não,2x,10x,157.5 mm x 77.4 mm x 7.7 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Setembro,2018,208 g,"6.5 """,Full HD+,1242 px x 2688 px,OLED,,19.5 - 9,458 ppi,,625 cd/m²,Sim,3174 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Celular em excelente estado de conservação !! Sem arranhões, sem nada!!  Estado de novo!!!",,,25 h,,,,,,,,,,,,,,
0,iPhone 7 Plus 32 Gb Preto-fosco Com Caixa E Nota Fiscal,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone 7 Plus,32 GB,3 GB,Não,,iOS,10.0.1,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Portrait mode,Optical image stabilization,Six-element lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live P",2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,158.2 mm x 77.9 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Não,,Setembro,2016,188 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,19.5 - 9,401 ppi,,625 cd/m²,Sim,2900 mAh,Íon de lítio,,Sim,Não,384 h,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,O vendedor não inseriu a descrição do produto,,,21 h,,,,,,,,,,,,,,
0,"iPhone 7, Red 128gb Usado",https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone 7,128 GB,2 GB,Não,,iOS,10.0.1,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Optical image stabilization,Six-element lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with stab",1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,2x,5x,138.3 mm x 67.1 mm x 7.1 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2016,138 g,"4.7 """,HD,750 px x 1334 px,IPS,Retina,20 - 9,326 ppi,60 Hz,625 cd/m²,Sim,1960 mAh,Íon de lítio,,,Não,240 h,Sim,,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Telefone em ótimas condições  Acompanha 1 cabo USB  Desbloqueado e liberado,,Não,14 h,MIUI 12,,,,,,,,,,,,,
0,iPhone 8 Plus 64gb Red Silver Space Gray Gold (Recondicionado),https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone 8 Plus,64 GB,3 GB,Não,,iOS,11,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Portrait mode,Portrait Lighting with five effects (Natural,Studio,Contour,Stage,Stage Mono),Optical image stabilization,Sixelement lens,LED True Tone flash with Slow Sync,Panorama (up to 63MP),Live Photos with stabilization,Wide color captu...",2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,158.4 mm x 78.1 mm x 7.5 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Apple GPU,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2017,202 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,19.5 - 9,401 ppi,,625 cd/m²,Sim,2691 mAh,Íon de lítio,Sim,Sim,Não,240 h,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Descrição Câmera dupla e mais detalhes Suas 2 câmeras traseiras de 12 Mpx/12 Mpx permitirão que você tire fotos mais detalhadas e obtenha efeitos únicos, como a famosa profundidade rasa do modo retrato de campo. Além disso, o dispositivo possui uma câmera frontal de 7 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 5.5 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Melhor desempenho Sua memória RAM de 3 GB permite que seu smartphone funcione sem problemas e sem demora ao executar várias tarefas, jogar jogos ou navegar. Desbloqueio com um toque Graças ao sensor de impressão digital, você poderá acessar a seu telefone com segurança e desbloqueá-lo automaticamente com apenas um toque. Bateria o dia todo Sua bateria 2691 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. Grande capacidade de armazenamento Com sua memória interna de 64 GB você sempre terá espaço para armazenar arquivos e documentos importantes. Além disso, você poderá salvar filmes, séries e vídeos para reproduzi-los sempre que quiser offline.",,,21 h,,,,,,,,,,,,,,
0,iPhone 11 64 Gb Branco Lacrado,https://produto.mercadolivre.com.br/MLB-1851769122-celular-iphone-6s-dourado-ios-_JM,Apple,iPhone,iPhone 11,64 GB,4 GB,Não,512 GB,iOS,13,14,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,"Portrait mode with advanced bokeh and Depth Control,Portrait Lighting with six effects (Natural,Studio,Contour,Stage,Stage Mono,High-Key Mono),Optical image stabilization (Wide),Fiveelement lens (Ultra Wide),Sixelement lens (Wide),Brighter Tru",2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,3840 px x 2160 px,f 2.2,Não,2x,5x,150.9 mm x 75.7 mm x 8.3 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A13 Bionic,"2x2.65 GHz Lightning,4x1.8 GHz Thunder",6,2.65 GHz,Apple GPU MP4,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Setembro,2019,194 g,"6.1 """,HD,828 px x 1792 px,IPS,Liquid Retina,19.5 - 9,326 ppi,60 Hz,625 cd/m²,Sim,3110 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Fotos amplas e perfeitas dia e noite Sua câmera ultra grande angular cobre um campo de visão até quatro vezes maior, para que nada e ninguém fiquem de fora. E com o modo noturno, a pouca luz não é problema. Seja em festas com amigos ou num aniversário de família, salve os melhores momentos sem usar o flash. A função é ativada automaticamente! Retratos mais reais O modo Smart HDR de última geração reconhece as pessoas na imagem, melhora a iluminação facial e confere aos tons de pele uma aparência natural. Mas isso não é tudo: fornece mais detalhes às sombras e preserva a qualidade da imagem do plano de fundo. O que mais você pode pedir de uma fotografia? Grave e edite vídeos em nível profissional Todas as câmeras do iPhone 11 gravam vídeo em 4K com uma nitidez incrível. Sua câmera ultra grande angular permite capturar paisagens imperdíveis e cenas em movimento, como um amigo andando de bicicleta no parque. Um recital de música? Aumente o zoom na imagem e o som também aumentará. Um iPhone que oferece tudo A tela LCD dLiquid Retina torna tudo mais real e sua tecnologia True Tone ajusta o balanço de brancos à luz do ambiente automaticamente. O sistema de autenticação do Face ID reconhece seu rosto para oferecer maior segurança do que a tecnologia Touch ID. Como se isso não bastasse, com o chip A13 Bionic e a bateria de carregamento rápido, ele navega na velocidade máxima e sem interrupções.",,,,,Não,,,,,,,,,,,,
0, iPhone 12 Pro Max 256 Gb Azul-pacífico,https://produto.mercadolivre.com.br/MLB-1513796973-iphone-xr-original-_JM,Apple,iPhone,iPhone 12 Pro Max,256 GB,6 GB,Não,512 GB,iOS,14,14,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,,3,12 Mpx/12 Mpx/12 Mpx,f 1.6/f 2.2/f 2.4,1,3840 px x 2160 px,f 2.2,Não,5x,12x,160.8 mm x 78.1 mm x 7.4 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A14 Bionic,,6,3 GHz,Apple GPU,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Novembro,2020,228 g,"6.7 """,Full HD+,1284 px x 2778 px,OLED,DotDisplay,19.5 - 9,458 ppi,,1200 cd/m²,Sim,3687 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,,Não,,Sim,Desbloqueado,"Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3  câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Perfeito para quem gosta de fotos detalhadas. Seu zoom óptico lhe dará a possibilidade de ampliar sem perder qualidade de suas capturas. Capacidade e eficiência Com seu poderoso processador e memória RAM de 6 GB seu computador alcançará alto desempenho com alta velocidade de transmissão de conteúdos e executará vários aplicativos ao mesmo tempo, sem atrasos. Reconhecimento facial para maior segurança Aproxime o dispositivo do seu rosto para desbloqueá-lo instantaneamente. Sua tecnologia precisa de reconhecimento facial garante acesso rápido e seguro ao dispositivo.  Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 3687 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",,,,,,,,,,,,,,,,,
