,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Tipos de cartão de memória,Capacidade máxima do cartão de memória,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Proporção da tela,Pixels por polegada,Com tela tátil,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia de conversação,Altura x Largura x Profundidade,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Modelo de GPU,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com sensor de frequência cardíaca,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Mês de lançamento,Ano de lançamento,Peso,Nome do sistema operacional,Versão original do sistema operacional,Camada original de personalização do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Características principais das câmeras,Quantidade de câmeras traseiras,Resolução das câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução das câmeras frontais,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom digital,Com leitor de impressão digital,Com reconhecimento facial,Com reconhecimento de íris,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,descricao,Taxa de atualização da tela,É resistente a quedas,Com barômetro,Última camada compatível de personalização do sistema operacional,Resolução de vídeo da câmera frontal,Última versão compatível do sistema operacional,Brilho máximo da tela,Zoom óptico,Inclui lápis,Velocidade do GPU,Autonomia em standby,Cor,Com tela dobrável,É kit,Edição do sistema operacional,Modelo detalhado,Origem,Zoom híbrido,Com reconhecimento de mão,Quantidade de eSIMs,Versão,Tipos de câmeras traseiras,Tipos de câmeras frontais,Tecnologia da tela secundária,Tamanho da tela secundária,Resolução da tela secundária,Proporção da tela secundária,Com tela secundária tátil,Altura fechado,Largura fechada,Profundidade cerrado,Taxa de atualização da tela secundária,Altura x Profundidade,Altura x Largura,Brilho máximo da tela secundária
0,"Smartphone Samsung Galaxy A01 Core 32gb 2gbram Tela 5,3-prt",https://produto.mercadolivre.com.br/MLB-1867587666-smartphone-samsung-galaxy-a02s-32-gb-4g-wi-fi-tela-65--_JM,Samsung,Galaxy A01 Core,Samsung,32 GB,2 GB,Sim,MicroSD,512 GB,"5.3 """,,720 px x 1480 px,PLS,,,311 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,17 h,141.7 mm x 67.5 mm x 8.6 mm,Não,Não,,,Não,IP67,Mediatek MT6739,4x1.5 GHz Cortex-A53,4,1.5 GHz,PowerVR GE8100,Sim,,,,,Sim,2,Nano-SIM,,Agosto,2020,150 g,Android,10,,8 Mpx,1920 px x 1080 px,5 Mpx,Sim,,1,,f 2.2,1,,f 2.4,Não,4x,Não,,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Desbloqueado,"Smartphone Samsung Galaxy A01 Core 32GB 2GB RAM Câmera Traseira 8MP Frontal 5MP Tela 5,3"" Android Go 10.0 - Preto",60 Hz,Não,Não,,,,500 cd/m²,,,,,,,,Go Edition,,,,,,,,,,,,,,,,,,,,
0,"Smartphone Samsung Galaxy A01 32gb 2gb Ram Tela 5,7 - Preto",https://produto.mercadolivre.com.br/MLB-1867587666-smartphone-samsung-galaxy-a02s-32-gb-4g-wi-fi-tela-65--_JM,Samsung,Galaxy A01,Samsung,32 GB,2 GB,Sim,MicroSD,512 GB,"5.7 """,HD+,720 px x 1520 px,PLS,Infinity-V Display,19 - 9,301 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,,146.2 mm x 70.9 mm x 8.3 mm,Não,Não,Não,Não,Não,IP67,Snapdragon 439,"4x2 GHz Cortex-A53,4x1.45 GHz Cortex-A53",8,2 GHz,Adreno 505,Sim,Sim,Não,,,Sim,2,Nano-SIM,Não,Fevereiro,2020,149 g,Android,10,One UI 2,13 Mpx,1920 px x 1080 px,5 Mpx,Sim,"LED flash,Autofocus,Touch focus,EIS,Face detection,Smile detection,HDR",2,13 Mpx/2 Mpx,f 2.2/f 2.4,1,,f 2.2,Não,8x,,Sim,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Desbloqueado,"Smartphone Samsung Galaxy A01 32GB 2GB RAM Câmera Dupla 13MP + 2MP Frontal 5MP Tela 5,7"" Android 10.0 - Preto",60 Hz,Não,Não,MIUI 12,1280 px x 720 px,,500 cd/m²,,,650 MHz,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Smartphone Samsung Galaxy A01 Core 32gb 2gbram Tela 5,3-ver",https://produto.mercadolivre.com.br/MLB-1867587666-smartphone-samsung-galaxy-a02s-32-gb-4g-wi-fi-tela-65--_JM,Samsung,Galaxy A01 Core,Samsung,32 GB,2 GB,Sim,MicroSD,512 GB,"5.3 """,,720 px x 1480 px,PLS,,,311 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,17 h,141.7 mm x 67.5 mm x 8.6 mm,Não,Não,,,Não,IP67,Mediatek MT6739,4x1.5 GHz Cortex-A53,4,1.5 GHz,PowerVR GE8100,Sim,,,,,Sim,2,Nano-SIM,,Agosto,2020,150 g,Android,10,,8 Mpx,1920 px x 1080 px,5 Mpx,Sim,,1,,f 2.2,1,,f 2.4,Não,4x,Não,,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Desbloqueado,"Smartphone Samsung Galaxy A01 Core 32GB 2GB RAM Câmera Traseira 8MP Frontal 5MP Tela 5,3"" Android Go 10.0 - Vermelho",60 Hz,Não,Não,,,,500 cd/m²,,,,,,,,Go Edition,,,,,,,,,,,,,,,,,,,,
0,"Smartphone Samsung Galaxy A01 Core 32gb 2gbram Tela 5,3-azl",https://produto.mercadolivre.com.br/MLB-1867961014-smartphone-samsung-galaxy-a21s-64gb-preto-4g-4gb-ram-65-_JM,Samsung,Galaxy A01 Core,Samsung,32 GB,2 GB,Sim,MicroSD,512 GB,"5.3 """,,720 px x 1480 px,PLS,,,311 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,17 h,141.7 mm x 67.5 mm x 8.6 mm,Não,Não,,,Não,IP67,Mediatek MT6739,4x1.5 GHz Cortex-A53,4,1.5 GHz,PowerVR GE8100,Sim,,,,,Sim,2,Nano-SIM,,Agosto,2020,150 g,Android,10,,8 Mpx,1920 px x 1080 px,5 Mpx,Sim,,1,,f 2.2,1,,f 2.4,Não,4x,Não,,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Desbloqueado,"Smartphone Samsung Galaxy A01 Core 32GB 2GB RAM Câmera Traseira 8MP Frontal 5MP Tela 5,3"" Android Go 10.0 - Azul",60 Hz,Não,Não,,,,500 cd/m²,,,,,,,,Go Edition,,,,,,,,,,,,,,,,,,,,
0,"Smartphone Samsung Galaxy A01 32gb Preto 4g 2gb Ram Tela 5,7",https://produto.mercadolivre.com.br/MLB-1867961014-smartphone-samsung-galaxy-a21s-64gb-preto-4g-4gb-ram-65-_JM,Samsung,Galaxy A,SM-A015MZKSZTO,32 GB,2 GB,Sim,MicroSD,512 GB,"5.7 """,HD+,720 px x 1520 px,PLS,Infinity-V Display,19 - 9,301 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,,146.2 mm x 70.9 mm x 8.3 mm,Não,Não,Não,Não,Não,IP67,Snapdragon 439,"4x2 GHz Cortex-A53,4x1.45 GHz Cortex-A53",8,2 GHz,Adreno 505,Sim,Sim,Não,,,Sim,2,Nano-SIM,Não,Fevereiro,2020,149 g,Android,10,One UI 2,13 Mpx,1920 px x 1080 px,5 Mpx,Sim,"LED flash,Autofocus,Touch focus,EIS,Face detection,Smile detection,HDR",2,13 Mpx/2 Mpx,f 2.2/f 2.4,1,,f 2.2,Não,8x,,Sim,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Desbloqueado,"Descri¿o  Pensado para voce  O Samsung A01 Duos possui o novo sistema operacional Android 10 que incorpora  respostas inteligentes e a¿es sugeridas para todos os seus aplicativos. Entre  as suas vrias funcionalidades ir encontrar o tema escuro, a navega¿o por  gestos e o modo livre de distra¿o, para que voc possa completar as suas  tarefas enquanto desfruta ao mximo do seu dispositivo.    Cmera dupla e mais detalhes  Suas 2 cmeras traseiras de 13 Mpx/2 Mpx permitiro que voc tire fotos mais  detalhadas e obtenha efeitos nicos, como a famosa profundidade rasa do modo  retrato de campo.    Alm disso, o dispositivo possui uma cmera frontal de 5 Mpx para que voc  possa tirar selfies divertidas ou fazer videochamadas.    Mais para ver  Com sua tela PLS de 5.7 , desfrute de cores intensas e maior clareza em todo o  seu contedo.    Reconhecimento facial para maior seguran¿a  Aproxime o dispositivo do seu rosto para desbloque-lo instantaneamente. Sua  tecnologia precisa de reconhecimento facial garante acesso rpido e seguro ao  dispositivo.    Bateria o dia todo  Sua bateria 3000 mAh se adapta ao seu estilo de vida e lhe garante energia  durante um dia inteiro com uma nica carga.    O espa¿o que voc precisa  Com sua memria interna de 32 GB baixe seus aplicativos favoritos e salve todas  as fotos e vdeos que desejar.   ",60 Hz,Não,Não,MIUI 12,1280 px x 720 px,,500 cd/m²,,,650 MHz,,Preto,,,,,,,,,,,,,,,,,,,,,,,
0,Samsung A30 - Seminovo ,https://produto.mercadolivre.com.br/MLB-1868460714-smartphone-galaxy-a12-samsung-tenso-bivolt-_JM,Samsung,Galaxy A,A30,64 GB,4 GB,Sim,MicroSD,512 GB,"6.4 """,Full HD+,1080 px x 2340 px,Super AMOLED,Dot Drop Display,,403 ppi,Sim,,,4000 mAh,Polímero de lítio,,Não,Não,,158.5 mm x 74.7 mm x 7.7 mm,Não,Não,Não,Não,Não,IP68,Exynos 7904,"2x1.8 GHz Cortex-A73,6x1.6 GHz Cortex-A53",8,1.8 GHz,Mali-G71 MP2,Sim,Sim,Não,Sim,,Não,1,Nano-SIM,Não,,2019,165 g,Android,9.0 Pie,,16 Mpx,1920 px x 1080 px,16 Mpx,Sim,,2,16 Mpx/5 Mpx,f 1.7/f 2.2,1,,f 2.0,Não,,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,Sim,,Sim,Desbloqueado,"Novinho. Tem uma leve rachadura no vidro. Não afeta nenhuma função, tela está funcionando perfeitamente. Acompanha capa importada da Otter Box (melhor case do mundo). Carregador e fones novos, lacrados.",60 Hz,Não,,,1920 px x 1080 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Samsung ,https://produto.mercadolivre.com.br/MLB-1868460714-smartphone-galaxy-a12-samsung-tenso-bivolt-_JM,Samsung,Galaxy A,A01 Core Duos,32 GB,2 GB,Sim,MicroSD,512 GB,"5.3 """,HD+,720 px x 1480 px,PLS,Dot Drop Display,20 - 9,311 ppi,Sim,,,3000 mAh,Íon de lítio,,Não,Não,17 h,141.7 mm x 67.5 mm x 8.6 mm,Não,Não,,,Não,IP67,Mediatek MT6739,4x1.5 GHz Cortex-A53,4,1.5 GHz,PowerVR GE8100,Sim,,Não,,Não,Sim,2,Nano-SIM,,Agosto,2020,150 g,Android,10,MIUI 12,8 Mpx,1920 px x 1080 px,5 Mpx,Sim,,1,,f 2.2,1,,f 2.4,Não,4x,Não,,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Desbloqueado,"Pensado para você O Samsung A01 Core Duos possui o novo sistema operacional Android 10 que incorpora respostas inteligentes e ações sugeridas para todos os seus aplicativos. Entre as suas várias funcionalidades irá encontrar o tema escuro, a navegação por gestos e o modo livre de distração, para que você possa completar as suas tarefas enquanto desfruta ao máximo do seu dispositivo. Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 8 Mpx. Além disso, o dispositivo possui uma câmera frontal de 5 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela PLS de 5.3 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Bateria o dia todo Sua bateria 3000 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. O espaço que você precisa Com sua memória interna de 32 GB baixe seus aplicativos favoritos e salve todas as fotos e vídeos que desejar.",,,Não,,,,500 cd/m²,,,,,,,,Go Edition,,,,,,,,,,,,,,,,,,,,
0,Smartphone Samsung Galaxy A02s 32 Gb 4g Wi-fi Tela 6.5 '',https://produto.mercadolivre.com.br/MLB-1868937236-samsung-galaxy-a51-_JM,Samsung,Galaxy A,A02s,32 GB,4 GB,Sim,MicroSD,1 TB,"6.5 """,HD+,720 px x 1600 px,PLS,Infinity-V Display,20 - 9,270 ppi,Sim,,,5000 mAh,Polímero de lítio,Sim,Não,Não,,164.2 mm x 75.9 mm x 9.1 mm,Não,Não,Não,,Não,IP67,Snapdragon 450,8x1.8 GHz Cortex-A53,8,1.8 GHz,Adreno 506,Sim,Sim,Não,,,Não,1,Nano-SIM,,Janeiro,2021,196 g,Android,10,One UI,13 Mpx,1920 px x 1080 px,5 Mpx,Sim,"Bokeh effect,Live focus",3,13 Mpx/2 Mpx/2 Mpx,f 2.2/f 2.4/f 2.4,1,,f 2.2,Não,8x,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Não,,,Não,Sim,Desbloqueado,"O Smartphone Samsung Galaxy A02 conta com design compacto que cabe confortavelmente na sua mão. Mais desempenho com processador Octa-Core 1.8GHz não perca tempo esperando o carregamento de aplicativos. Com tela Infinita de 6.5 e sistema operacional android 10, memória RAM de 3GB e interna 32GB, expansivo cartão microSD 512GB. Possui câmera traseira tripla de 13MP + 2MP + 2MP e frontal Selfie de 5MP para tirar suas fotos em alta resolução e não perder nenhum detalhe.O Smartphone Samsung Galaxy A02s é completo com todos os recursos necessários para facilitar o seu dia a dia.",60 Hz,Não,Não,,1920 px x 1080 px,,500 cd/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Smartphone Samsung Galaxy A21s 64gb Preto 4g - 4gb Ram 6,5 ",https://produto.mercadolivre.com.br/MLB-1854607989-smartphone-samsung-galaxy-s21-tela-62-128gb-cm-tripla-_JM,Samsung,Galaxy A,A21s,64 GB,4 GB,Sim,MicroSD,512 GB,"6.5 """,,720 px x 1600 px,PLS,,20 - 9,270 ppi,Sim,,,5000 mAh,Polímero de lítio,Sim,Não,Não,54 h,163.7 mm x 75.3 mm x 8.9 mm,Não,Não,Não,Não,Não,IP68,Exynos 850,8x2 GHz Cortex-A55,8,2 GHz,Mali-G52,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Não,,2020,192 g,Android,10,One UI 2,48 Mpx,1920 px x 1080 px,13 Mpx,Sim,,4,48 Mpx/8 Mpx/2 Mpx/2 Mpx,f 2.0/f 2.2/f 2.4/f 2.4,1,,f 2.2,Não,8x,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,Sim,Não,Sim,Desbloqueado,"Samsung A21s possui o novo sistema operacional Android 10 que incorpora respostas inteligentes e ações sugeridas para todos os seus aplicativos. Entre as suas várias funcionalidades irá encontrar o tema escuro, a navegação por gestos e o modo livre de distração, para que você possa completar as suas tarefas enquanto desfruta ao máximo do seu dispositivo. Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 4  câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Desbloqueio facial e de impressão digital Máxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 5000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",,Não,Não,,1920 px x 1080 px,,500 cd/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Smartphone Galaxy A12 Samsung - Tensão Bivolt,https://produto.mercadolivre.com.br/MLB-1870360520-samsung-galaxy-a12-64gb-r700-a-vista-_JM,Samsung,Galaxy,GALAXY A12,64 GB,4 GB,Sim,MicroSD,1 TB,"2 """,HD+,1560x720,PLS,TFT LCD,20 - 9,270 ppi,Sim,,,5000 mAh,Ions de Lítio,Sim,Não,Não,34 h,164 mm x 75.8 mm x 8.9 mm,Não,Não,,,Não,IP68,MediaTek MT6765 Helio P35,Octa Core,8,2.35 GHz,PowerVR GE8320,Sim,Sim,Não,Sim,,Sim,2,Nano-SIM,,Dezembro,2020,205 g,Android,10,One UI,48 Mpx,1920 px x 1080 px,8 Mpx,Sim,,4,48 MP,f 2.0/f 2.2/f 2.4/f 2.4,1,,F 2 + F 2.2 + F 2.4 + F 2.4,Sim,10x,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Não,,Sim,Não,Sim,Desbloqueado,"Distribuido por Cybelar, uma loja Mercado Líder Platinum. Seja bem vindo!  Smartphone Galaxy A12 Samsung, Samsung  O Smartphone Galaxy A12 da Samsung conta com poderosas soluções para elevar e facilitar sua experiência!    O Smartphone Galaxy A12 da Samsung possui um conjunto de câmeras Quádruplas, uma principal com 48MP, uma câmera ultra wide de 5MP e uma Macro de 2 MP. Já na parte frontal, o sensor é de 8 MP com tela Infinita de 6.5, processador Octa Core e um armazenamento interno de 64GB que entrega muita conveniência para salvar seus documentos, músicas ou vídeos! Além disso, o Galaxy A12 da Samsung possui uma bateria de 5000mAh para te acompanhar o dia todinho, além de contar com carregamento rápido de 15W.    Permaneça sempre conectado com a tecnologia 4G e Wi-Fi em um aparelho dual chip! Conte com a segurança de um leitor de impressão digital neste smartphone .O Galaxy A12 da Samsung possui Sensores de Acelerômetro, Proximidade e Sensor de Luz.    O Smartphone Galaxy A12 da Samsung acompanha 01 carregador, 01 cabo USB, 01 extrator de Chip e 01 manual do usuário.    Adquira hoje mesmo o Smartphone Galaxy A12 da Samsung, com suas poderosas soluções para elevar e facilitar suas experiências.    Conteúdo da embalagem: Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário  Garantia (meses): 12  Modelo: GALAXY A12  Marca: Samsung  Fabricante: Gazin Eletro  Tamanho da Tela [""]: 6,5  Lançamento: 2021  Sim Card: Nano  Dual Sim: Sim  GSM: Quad band  HSPA+: Sim  4G: Sim  5G: Não  Velocidade máxima de download: 300 Mbps  Velocidade máxima de upload: 50 Mbps  Chipset: Helio P35 MediaTek MT6765  GPU: PowerVR GE8320  Memória Expansível: Sim - PowerVR GE8320  Resolução da tela: 1560x720  Densidade de pixels: 264 ppi  Tipo de tela: TFT LCD  Quantidade de cores: 16 milhões  Proteção da tela: Sim  Câmeras: 4  Tamanho do sensor: 1/2.0 ""  Aperture size: F 2 + F 2.2 + F 2.4 + F 2.4  Estabilizador: Sim  Auto-foco: Sim  Foco por toque: Sim  Flash: Sim  Flash frontal: N/A  HDR: Sim  Localização: Sim  Detecção de sorriso: Sim  FPS Vídeo: 30 fps  Slow Motion: N/A  Resolução da gravação: Full HD  Wifi: 802.11 b/g/n 2.4GHz  Bluetooth: v5.0  IRDA: N/A  NFC: Não  GPS: Sim  Acelerômetro: Sim  Proximidade: Sim  Giroscópio: Não  Bússola: N/A  Barômetro: N/A  Impressão digital: Sim  Mic. de Redução de Ruído: N/A  Rádio FM: Sim  TV: Não  Tipo de bateria: Ions de Lítio  Capacidade bateria [mAh]: 5000  Altura [cm]: 16,4  Largura [cm]: 7,58  Profundidade [cm]: 0,89  Peso [kg]: 205  Memória RAM: 4 GB  Resolução da Câmera Traseira: 48 MP  Quantidade de Chips: 2  Sistema Operacional: Android 10.0  Resolução da Câmera Frontal: 8 MP  Memória Interna: 64 GB  Processador: Octa Core  Operadora: Desbloqueado  Redes e conexões: Sim    Trocas e devoluções serão válidas apenas para produtos que apresentarem problemas de fabricação.  Visite nosso eShop https://eshops.mercadolivre.com.br/cib%20284  Produtos Novos com garantia e nota fiscal.  Atendimento de segunda à sexta-feira, das 8hrs até às 18hrs.  A Cybelar não se responsabiliza pela montagem, reparos ou instalação dos produtos.  Fotos ilustrativas. As escalas de redução não são proporcionais. Os objetos de decoração que aparecem nos produtos em oferta, não estão incluídos nos preços dos mesmos. Reservamos o direito de corrigirmos erros gráficos.  Sobre nós: A Cybelar é uma rede varejista de móveis, eletrodomésticos, tecnologia, telefone e utensilios domésticos localizada no interior de São Paulo que está no mercado desde 1952. Hoje possui mais de 100 lojas fisicas espalhadas por todo estado. ",60 Hz,Não,Sim,,1920 px x 1080 px,,500 cd/m²,,,680 MHz,,,,,,,,,,2,,,,,,,,,,,,,,,
0,Samsung Galaxy A51,https://produto.mercadolivre.com.br/MLB-1870360520-samsung-galaxy-a12-64gb-r700-a-vista-_JM,Samsung,Galaxy A,A51 Duos,128 GB,8 GB,Sim,MicroSD,512 GB,"6.5 """,Full HD+,1080 px x 2400 px,Super AMOLED,,20 - 9,405 ppi,Sim,,,4000 mAh,Polímero de lítio,Sim,Não,Não,32 h,158.5 mm x 73.6 mm x 7.9 mm,Não,Não,Não,Não,Não,IP68,Exynos 9611,"4x2.3 GHz Cortex-A73,4x1.7 GHz Cortex-A53",8,2.3 GHz,Mali-G72 MP3,Sim,Sim,Sim,Sim,Não,Sim,2,Nano-SIM,Não,Dezembro,2019,172 g,Android,10,One UI,48 Mpx,3840 px x 2160 px,32 Mpx,Sim,,4,48 Mpx/12 Mpx/5 Mpx/5 Mpx,f 2.0/f 2.2/f 2.4/f 2.2,1,,f 2.2,Não,8x,Sim,Sim,Não,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,Sim,,Sim,Desbloqueado,Semi novo 7 meses de uso vai junto uma película cerâmica 9d Película frente verso e na câmera  Celular praticamente novo sem marcas,,Não,Não,One UI 2.5,1920 px x 1080 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Samsung A10s ,https://www.mercadolivre.com.br/moto-g30-128-gb-dark-prism-4-gb-ram/p/MLB17770104,Samsung,Galaxy A,A10s,32 GB,2 GB,Sim,MicroSD,512 GB,"6.2 """,HD+,720 px x 1520 px,PLS,Infinity-V Display,19 - 9,271 ppi,Sim,,,4000 mAh,Polímero de lítio,Não,Não,Não,,156.9 mm x 75.8 mm x 7.8 mm,Não,Não,Não,Não,,IP68,MediaTek MT6762 Helio P22,"4x2 GHz Cortex-A53,4x1.5 GHz Cortex-A53",8,2 GHz,PowerVR GE8320,Sim,Sim,Não,,,Não,1,Nano-SIM,Não,Agosto,2019,168 g,Android,9.0 Pie,One UI,13 Mpx,1920 px x 1080 px,8 Mpx,Sim,"LED flash,Autofocus,Touch focus,EIS,Face detection,Smile detection,HDR",2,13 Mpx/2 Mpx,f 1.8/f 2.4,1,,f 2.0,Não,4x,Sim,Sim,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Desbloqueado,Celular Samsung a10s novo sem detalhes,60 Hz,Não,Não,MIUI 12,1920 px x 1080 px,10,500 cd/m²,,,650 MHz,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular A11,https://www.mercadolivre.com.br/moto-g30-128-gb-dark-prism-4-gb-ram/p/MLB17770104,Samsung,Galaxy A,A11 Duos,64 GB,3 GB,Sim,MicroSD,512 GB,"6.4 """,HD+,720 px x 1560 px,PLS,,,268 ppi,Sim,,,4000 mAh,Polímero de lítio,,Não,Não,,161.4 mm x 76.3 mm x 8 mm,Não,Não,,,Não,IP68,Snapdragon 450,,8,1.8 GHz,Adreno 506,Sim,Sim,,,Não,Sim,2,Nano-SIM,Não,,2020,177 g,Android,10,One UI 2,13 Mpx,1920 px x 1080 px,8 Mpx,Sim,,3,13 Mpx/5 Mpx/2 Mpx,f 1.8/f 2.2/f 2.4,1,,f 2.0,Não,,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,Sim,Não,Sim,Desbloqueado,"Pensado para você O Samsung A11 Duos possui o novo sistema operacional Android 10 que incorpora respostas inteligentes e ações sugeridas para todos os seus aplicativos. Entre as suas várias funcionalidades irá encontrar o tema escuro, a navegação por gestos e o modo livre de distração, para que você possa completar as suas tarefas enquanto desfruta ao máximo do seu dispositivo. Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3  câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Além disso, o dispositivo possui uma câmera frontal de 8 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Desbloqueio facial e de impressão digital Máxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 4000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",,,Não,,1920 px x 1080 px,,,,,600 MHz,,,,,,,,,,,,,,,,,,,,,,,,,
